key,en,es,fr,de,pt,th,vi,id,ms,fil,zh
admin.adjust.amount,Amount,,,,,,,,,,金额
admin.adjust.amount.ask_fx,"""✍️ Enter amount (positive add, negative subtract)""","""✍️ Introduce el importe (positivo = sumar, negativo = restar)""","""✍️ Entre le montant (positif = ajouter, négatif = retirer)""","""✍️ Betrag eingeben (positiv = hinzufügen, negativ = abziehen)""",,,"""✍️ Nhập số tiền (dương = cộng, âm = trừ)""",,,,"""✍️ 请输入金额（正数增加，负数减少）"""
admin.adjust.amount.ask_point,"""✍️ Enter points delta (positive/negative), e.g., 100 or -50""","""✍️ Introduce cambio de puntos (p. ej. 100 o -50)""","""✍️ Entre la variation de points (ex. 100 ou -50)""","""✍️ Punkteänderung eingeben (z. B. 100 oder -50)""",,,"""✍️ Nhập thay đổi điểm (ví dụ 100 hoặc -50)""",,,,"""✍️ 请输入积分变动值（正数加 / 负数减），如 100 或 -50"""
admin.adjust.amount.hint_fx,"""Up to 6 decimals, e.g., 12.345678 or -0.5""","""Hasta 6 decimales, p. ej. 12.345678 o -0.5""","""Jusqu’à 6 décimales. Ex. 12.345678 ou -0.5""","""Bis zu 6 Dezimalstellen, z. B. 12.345678 oder -0.5""",,,"""Tối đa 6 chữ số thập phân. Ví dụ 12.345678 hoặc -0.5""",,,,"""支持最多 6 位小数，例如 12.345678 或 -0.5"""
admin.adjust.ask_user,"""👤 Target user: send <code>UserID</code> or <code>@username</code>""","""👤 Envía <code>ID</code> o <code>@usuario</code>""","""👤 Envoie <code>ID</code> ou <code>@nom</code> de l’utilisateur""","""👤 Sende <code>ID</code> oder <code>@Nutzername</code>""",,,"""👤 Gửi <code>ID</code> hoặc <code>@username</code> của người dùng""",,,,"""👤 请输入目标用户：发送 <code>用户ID</code> 或 <code>@用户名</code>"""
admin.adjust.asset,Asset,,,,,,,,,,资产
admin.adjust.balance_after,"""💼 Current balance""","""💼 Saldo actual""","""💼 Solde actuel""","""💼 Aktuelles Guthaben""",,,"""💼 Số dư hiện tại""",,,,"""💼 当前余额"""
admin.adjust.button,"""➕ Balance adjustment""","""➕ Ajustar saldo""","""➕ Ajuster le solde""","""➕ Guthaben anpassen""",,,"""➕ Điều chỉnh số dư""",,,,"""➕ 余额调整"""
admin.adjust.cancelled,"""Cancelled.""","""Operación cancelada.""","""Opération annulée.""","""Vorgang abgebrochen.""",,,"""Đã hủy thao tác.""",,,,"""已取消操作。"""
admin.adjust.choose_asset,"""💱 Choose an asset:""","""💱 Elige activo:""","""💱 Choisis l’actif :""","""💱 Vermögenswert wählen:""",,,"""💱 Chọn tài sản:""",,,,"""💱 请选择资产："""
